section,metric,value,category
overview,total_findings,12,
overview,total_remediated,0,
overview,total_failed,0,
overview,total_discarded,1,
overview,total_requires_human_review,11,
overview,success_rate_pct,0.0,
per_round,fixed_count,0,round_1
per_round,fixed_count,0,round_2
per_round,fixed_count,0,round_3
per_severity,total,6,severity_2
per_severity,remediated,0,severity_2
per_severity,failed,0,severity_2
per_severity,total,6,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,39.86,
timing,avg_duration_per_finding_s,0.41,
timing,min_duration_s,0.0,
timing,max_duration_s,0.75,
timing,avg_triage_duration_s,0.43,
timing,avg_remedy_duration_s,0,
timing,avg_review_duration_s,0,
timing,avg_qa_duration_s,0,
cost,total_cost_usd,0.0,
cost,total_tokens,0,
cost,avg_cost_per_finding_usd,0.0,
cost,avg_tokens_per_finding,0,
models,model_name,openai/gpt-oss-20b,triage
models,model_name,openai/gpt-oss-20b,remedy
models,model_name,openai/gpt-oss-20b,review
models,model_name,openai/gpt-oss-20b,qa
stage_stats,triage_total,12,
stage_stats,triage_remediate,0,
stage_stats,triage_discard,12,
stage_stats,triage_human_review,11,
stage_stats,remedy_total,0,
stage_stats,remedy_passed_scan,0,
stage_stats,remedy_failed_scan,0,
stage_stats,remedy_avg_attempts,0.0,
stage_stats,review_total,0,
stage_stats,review_approved,0,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,0,
stage_stats,qa_total,0,
stage_stats,qa_safe,0,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
