finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,remedy_commands_executed,remedy_scan_passed,remedy_success,remedy_error_summary,remedy_attempt_duration_s,remedy_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,its-nagios-backend.tamu.edu,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,its-nagios-backend.tamu.edu,False,critical,"Enabling the dracut FIPS module requires modifying initramfs and adding the fips kernel boot parameter. On an already installed system this change is not supported and can render the system unbootable or cause cryptographic incompatibilities, leading to loss of access. The policy explicitly classifies FIPS-related changes as too dangerous to remediate automatically.",False,reboot required; boot failure; system unbootable; potential loss of SSH/console access; cryptographic incompatibility with existing applications,high,discarded,,0,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_fips_mode,Enable FIPS Mode,3,its-nagios-backend.tamu.edu,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,its-nagios-backend.tamu.edu,False,critical,"Enabling FIPS mode requires adding the kernel boot argument fips=1 and changing the system-wide cryptographic policy. This modification cannot be applied safely to an already‑installed RHEL 9 system, may render the system unbootable or cause incompatibilities with existing software, and mandates a reboot. The policy explicitly classifies FIPS changes as too dangerous to remediate automatically.",False,reboot required; kernel boot parameter modification; system-wide cryptographic policy change; potential incompatibility with existing applications; mandatory reboot; possible loss of console/SSH access if misapplied,high,discarded,,0,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,its-nagios-backend.tamu.edu,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,its-nagios-backend.tamu.edu,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter, which is only supported at installation time. Changing it on an existing system is not supported and can render the system non‑functional or cause cryptographic failures. This constitutes a high‑risk bootloader/kernel modification.",False,reboot required; FIPS mode change; kernel boot parameter modification; potential system instability; possible loss of cryptographic functionality,high,discarded,,0,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,its-nagios-backend.tamu.edu,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,its-nagios-backend.tamu.edu,False,medium,"Remediation likely requires upgrading or migrating the operating system to a supported release, which can affect many services, drivers, and configurations. This introduces a clear risk of losing SSH/console access or breaking critical services if performed without careful planning.",True,reboot required; OS version upgrade; Potential service disruption; Compatibility issues with existing applications; Possible loss of remote access during upgrade,high,requires_human_review,,0,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,its-nagios-backend.tamu.edu,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,its-nagios-backend.tamu.edu,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
package_gssproxy_removed,Uninstall gssproxy Package,2,its-nagios-backend.tamu.edu,package_gssproxy_removed,xccdf_org.ssgproject.content_rule_package_gssproxy_removed,compliance,its-nagios-backend.tamu.edu,False,medium,"Removing gssproxy can break services that depend on it for GSSAPI authentication (e.g., SSH, SSSD). The remediation may cause loss of authentication mechanisms or service failures, which requires careful review of dependencies before proceeding.",True,authentication/authorization affected; Potential loss of GSSAPI authentication; Dependent services may fail; System stability impact if other packages rely on gssproxy,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
ensure_redhat_gpgkey_installed,Ensure Red Hat GPG Key Installed,3,its-nagios-backend.tamu.edu,ensure_redhat_gpgkey_installed,xccdf_org.ssgproject.content_rule_ensure_redhat_gpgkey_installed,compliance,its-nagios-backend.tamu.edu,True,low,"The remediation only imports a trusted GPG key and verifies directory permissions. It does not affect authentication mechanisms, networking, or critical boot components, and follows standard STIG guidance for key installation.",False,filesystems affected; potential misconfiguration of directory permissions; importing an incorrect key if source is compromised,low,failed,,3,,False,False,can't concat str to bytes,0.0,57.517,,,,,,,,,,,,270.6781129837036,11,0,138.283,29211,5741,34952,0.002897,0,0,0.0,0.0,9,29573,0.002287,70.934,1,3052,0.000259,18.137,1,2327,0.000351,49.212,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
banner_etc_issue,Modify the System Login Banner,2,its-nagios-backend.tamu.edu,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,its-nagios-backend.tamu.edu,True,low,"The remediation only requires editing /etc/issue to replace the banner text. This is a straightforward file modification that does not affect authentication mechanisms, networking, bootloader, or critical services. The change is reversible and does not risk loss of SSH or console access.",False,filesystems affected; Compliance; Audit,low,failed,,3,,False,False,,8.94001317024231,,False,False,5,"The remediation plan correctly backs up the file, sets appropriate ownership and permissions, restores the SELinux context, and includes a verification step. However, the banner text provided in the plan is truncated and does not match the full DoD disclaimer required by the rule, so the OpenSCAP check will still fail. Until the complete, exact banner text is used, the vulnerability will not be fully remedied.",The banner text in the plan is incomplete; it does not contain the full DoD disclaimer as specified in the vulnerability description.; Verification step may not detect the missing or altered text if only a simple read is performed.; No mention of handling line‑breaks or whitespace exactly as required by the rule.,,,,,,,8.942745923995972,2,0,8.927,3789,1290,5079,0.001218,0,0,0.0,0.0,1,2443,0.000668,3.241,1,2636,0.00055,5.686,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,2,its-nagios-backend.tamu.edu,accounts_password_pam_dcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,compliance,its-nagios-backend.tamu.edu,True,low,"The remediation only edits a PAM password quality configuration file to require at least one digit. This is a standard STIG hardening step, does not affect boot or critical services, and is unlikely to cause lockout if the change is applied correctly.",False,authentication/authorization affected; Improper value could prevent users from setting passwords that meet the new policy; Potential temporary password change failures until users update passwords,low,success,1,1,ls -1 /etc/security/pwquality.conf.d 2>/dev/null || echo 'no_dir'; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i 's/^\s*dcredit\s*=.*/dcredit = -1/' /etc/security/pwquality.conf,True,True,,71.45482802391052,71.811,True,False,8,"The plan will set dcredit to -1 in /etc/security/pwquality.conf, which will enforce at least one digit assuming the setting line exists and no later overrides exist. It would resolve the vulnerability in typical configurations but could miss cases where the parameter is defined in a .conf.d file or absent from the main file.","The command only replaces an existing line and does not add the setting if it is missing, leaving the default (no digit requirement).; It does not consider possible overrides in /etc/security/pwquality.conf.d/*.conf files.; No backup of the original configuration file is made before editing.",True,"Changing dcredit to -1 only tightens password complexity; it does not affect existing authentication and will not lock out SSH or other services. The modification is limited to /etc/security/pwquality.conf and will only impact password changes, causing failures only for passwords that lack a digit, which is expected behavior.","Password change operations that do not include a numeric character will be rejected, potentially disrupting scripts or users unaware of the new policy.; If the dcredit line is absent, the sed command will not add it, leaving the default unchanged and not fully remediating the issue.; Existing overrides in /etc/security/pwquality.conf.d/*.conf may supersede this setting, causing the change to have no effect.",False,Approve,8.916609048843384,71.4627149105072,13,0,56.382,41158,3764,44922,0.006297,0,0,0.0,0.0,11,41390,0.005847,33.423,1,1746,0.000238,14.046,1,1786,0.00021,8.913,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_password_pam_enforce_root,Ensure PAM Enforces Password Requirements - Enforce for root User,2,its-nagios-backend.tamu.edu,accounts_password_pam_enforce_root,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,compliance,its-nagios-backend.tamu.edu,True,low,"The remediation only edits /etc/security/pwquality.conf to enable enforce_for_root, a standard PAM password policy change. This follows typical STIG hardening and does not modify bootloader, kernel, or filesystem structures. The main risk is that the existing root password may not meet the new complexity requirements, potentially causing a temporary login issue, but this can be mitigated by updating the root password beforehand.",False,authentication/authorization affected; root password may not meet new complexity requirements; possible temporary loss of root login if password not updated,low,success,3,3,test -f /etc/security/pwquality.conf || (touch /etc/security/pwquality.conf && chmod 600 /etc/security/pwquality.conf); authselect current; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak_alt; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i -E 's/^\s*enforce_for_root\s*(=.*)?$/enforce_for_root/' /etc/security/pwquality.conf; chmod 600 /etc/security/pwquality.conf && chown root:root /etc/security/pwquality.conf,True,True,,220.81509709358215,35.945,True,False,9,"The plan will add the enforce_for_root flag to the pam_pwquality.so lines in the password‑auth and system‑auth PAM stacks, which satisfies the OpenSCAP rule. Backups and permission checks are included, so the change should be effective. However, editing the files directly (instead of using authselect) can be overwritten by future profile updates, and the sed command could add duplicate arguments if run repeatedly.",Directly editing /etc/pam.d/password-auth and /etc/pam.d/system-auth may be overwritten by authselect or system updates.; The sed command does not explicitly guard against adding the flag multiple times on repeated runs.; No cleanup of the .bak files is described; they may accumulate.; Root password may need to be changed to meet the new complexity requirements.,True,"The plan adds only the enforce_for_root argument to the existing pam_pwquality.so lines in the PAM stacks, which is the correct way to satisfy the OpenSCAP rule. The change is limited, backups are created, and permissions are restored, so the risk of breaking authentication or critical services is minimal.",Direct edits may be overwritten by future authselect profile updates; Repeated runs could append duplicate enforce_for_root flags if not guarded; Backup .bak files are left on the system unless manually cleaned; Root password may need to be changed to meet the newly enforced complexity requirements,False,Approve,33.3062059879303,220.8244059085846,19,0,197.482,115997,7422,123419,0.00693,0,0,0.0,0.0,17,118252,0.006254,148.84,1,3062,0.000371,15.341,1,2105,0.000303,33.301,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
