section,metric,value,category
overview,total_findings,60,
overview,total_remediated,32,
overview,total_failed,7,
overview,total_discarded,13,
overview,total_requires_human_review,8,
overview,success_rate_pct,53.3,
per_round,fixed_count,21,round_1
per_round,fixed_count,8,round_2
per_round,fixed_count,3,round_3
per_severity,total,50,severity_2
per_severity,remediated,29,severity_2
per_severity,failed,6,severity_2
per_severity,total,10,severity_3
per_severity,remediated,3,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,4583.88,
timing,avg_duration_per_finding_s,168.89,
timing,min_duration_s,8.94,
timing,max_duration_s,966.55,
timing,avg_triage_duration_s,0,
timing,avg_remedy_duration_s,117.18,
timing,avg_review_duration_s,18.81,
timing,avg_qa_duration_s,10.98,
cost,total_cost_usd,0.1389,
cost,total_tokens,1621225,
cost,avg_cost_per_finding_usd,0.0023,
cost,avg_tokens_per_finding,27020,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,60,
stage_stats,triage_remediate,39,
stage_stats,triage_discard,21,
stage_stats,triage_human_review,8,
stage_stats,remedy_total,39,
stage_stats,remedy_passed_scan,32,
stage_stats,remedy_failed_scan,7,
stage_stats,remedy_avg_attempts,1.72,
stage_stats,review_total,38,
stage_stats,review_approved,37,
stage_stats,review_rejected,1,
stage_stats,review_avg_security_score,7.92,
stage_stats,qa_total,37,
stage_stats,qa_safe,36,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
