section,metric,value,category
overview,total_findings,12,
overview,total_remediated,3,
overview,total_failed,0,
overview,total_discarded,6,
overview,total_requires_human_review,3,
overview,success_rate_pct,25.0,
per_round,fixed_count,1,round_1
per_round,fixed_count,1,round_2
per_round,fixed_count,1,round_3
per_severity,total,6,severity_2
per_severity,remediated,3,severity_2
per_severity,failed,0,severity_2
per_severity,total,6,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,121.36,
timing,avg_duration_per_finding_s,7.84,
timing,min_duration_s,0.01,
timing,max_duration_s,33.76,
timing,avg_triage_duration_s,1.64,
timing,avg_remedy_duration_s,15.03,
timing,avg_review_duration_s,2.46,
timing,avg_qa_duration_s,1.58,
cost,total_cost_usd,0.0495,
cost,total_tokens,238647,
cost,avg_cost_per_finding_usd,0.0041,
cost,avg_tokens_per_finding,19887,
models,model_name,inception/mercury-2,triage
models,model_name,inception/mercury-2,remedy
models,model_name,inception/mercury-2,review
models,model_name,inception/mercury-2,qa
stage_stats,triage_total,12,
stage_stats,triage_remediate,3,
stage_stats,triage_discard,9,
stage_stats,triage_human_review,3,
stage_stats,remedy_total,3,
stage_stats,remedy_passed_scan,3,
stage_stats,remedy_failed_scan,0,
stage_stats,remedy_avg_attempts,2.0,
stage_stats,review_total,3,
stage_stats,review_approved,3,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,8.0,
stage_stats,qa_total,3,
stage_stats,qa_safe,3,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
