section,metric,value,category
overview,total_findings,150,
overview,total_remediated,110,
overview,total_failed,12,
overview,total_discarded,18,
overview,total_requires_human_review,10,
overview,success_rate_pct,73.3,
per_round,fixed_count,98,round_1
per_round,fixed_count,9,round_2
per_round,fixed_count,3,round_3
per_severity,total,140,severity_2
per_severity,remediated,107,severity_2
per_severity,failed,12,severity_2
per_severity,total,10,severity_3
per_severity,remediated,3,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,8315.96,
timing,avg_duration_per_finding_s,101.93,
timing,min_duration_s,0.01,
timing,max_duration_s,391.87,
timing,avg_triage_duration_s,13.64,
timing,avg_remedy_duration_s,46.56,
timing,avg_review_duration_s,28.13,
timing,avg_qa_duration_s,18.12,
cost,total_cost_usd,1.141,
cost,total_tokens,5999586,
cost,avg_cost_per_finding_usd,0.0076,
cost,avg_tokens_per_finding,39997,
models,model_name,openai/gpt-oss-120b,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,122,
stage_stats,triage_discard,28,
stage_stats,triage_human_review,10,
stage_stats,remedy_total,122,
stage_stats,remedy_passed_scan,110,
stage_stats,remedy_failed_scan,12,
stage_stats,remedy_avg_attempts,1.32,
stage_stats,review_total,122,
stage_stats,review_approved,121,
stage_stats,review_rejected,1,
stage_stats,review_avg_security_score,8.06,
stage_stats,qa_total,121,
stage_stats,qa_safe,119,
stage_stats,qa_unsafe,2,
stage_stats,qa_regressions,0,
