section,metric,value,category
overview,total_findings,13,
overview,total_remediated,4,
overview,total_failed,4,
overview,total_discarded,3,
overview,total_requires_human_review,2,
overview,success_rate_pct,30.8,
per_round,fixed_count,3,round_1
per_round,fixed_count,1,round_2
per_round,fixed_count,0,round_3
per_severity,total,7,severity_2
per_severity,remediated,3,severity_2
per_severity,failed,2,severity_2
per_severity,total,6,severity_3
per_severity,remediated,1,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,2935.46,
timing,avg_duration_per_finding_s,146.62,
timing,min_duration_s,0.02,
timing,max_duration_s,453.37,
timing,avg_triage_duration_s,4.87,
timing,avg_remedy_duration_s,164.24,
timing,avg_review_duration_s,6.3,
timing,avg_qa_duration_s,3.89,
cost,total_cost_usd,0.0247,
cost,total_tokens,420240,
cost,avg_cost_per_finding_usd,0.0019,
cost,avg_tokens_per_finding,32326,
models,model_name,microsoft/phi-4,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,microsoft/phi-4,review
models,model_name,microsoft/phi-4,qa
stage_stats,triage_total,13,
stage_stats,triage_remediate,8,
stage_stats,triage_discard,5,
stage_stats,triage_human_review,2,
stage_stats,remedy_total,8,
stage_stats,remedy_passed_scan,4,
stage_stats,remedy_failed_scan,4,
stage_stats,remedy_avg_attempts,2.12,
stage_stats,review_total,8,
stage_stats,review_approved,8,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,7.5,
stage_stats,qa_total,8,
stage_stats,qa_safe,7,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
