section,metric,value,category
overview,total_findings,11,
overview,total_remediated,4,
overview,total_failed,0,
overview,total_discarded,4,
overview,total_requires_human_review,3,
overview,success_rate_pct,36.4,
per_round,fixed_count,3,round_1
per_round,fixed_count,0,round_2
per_round,fixed_count,1,round_3
per_severity,total,5,severity_2
per_severity,remediated,2,severity_2
per_severity,failed,0,severity_2
per_severity,total,6,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,2542.56,
timing,avg_duration_per_finding_s,188.88,
timing,min_duration_s,0.03,
timing,max_duration_s,663.26,
timing,avg_triage_duration_s,25.46,
timing,avg_remedy_duration_s,201.67,
timing,avg_review_duration_s,30.74,
timing,avg_qa_duration_s,17.79,
cost,total_cost_usd,0.0,
cost,total_tokens,258805,
cost,avg_cost_per_finding_usd,0.0,
cost,avg_tokens_per_finding,23528,
models,model_name,unknown,triage
models,model_name,arcee-ai/trinity-large-preview:free,remedy
models,model_name,arcee-ai/trinity-large-preview:free,review
models,model_name,arcee-ai/trinity-large-preview:free,qa
stage_stats,triage_total,11,
stage_stats,triage_remediate,4,
stage_stats,triage_discard,7,
stage_stats,triage_human_review,3,
stage_stats,remedy_total,4,
stage_stats,remedy_passed_scan,4,
stage_stats,remedy_failed_scan,0,
stage_stats,remedy_avg_attempts,1.5,
stage_stats,review_total,4,
stage_stats,review_approved,4,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,7.5,
stage_stats,qa_total,4,
stage_stats,qa_safe,4,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
