section,metric,value,category
overview,total_findings,150,
overview,total_remediated,48,
overview,total_failed,51,
overview,total_discarded,5,
overview,total_requires_human_review,46,
overview,success_rate_pct,32.0,
per_round,fixed_count,40,round_1
per_round,fixed_count,7,round_2
per_round,fixed_count,1,round_3
per_severity,total,139,severity_2
per_severity,remediated,45,severity_2
per_severity,failed,50,severity_2
per_severity,total,11,severity_3
per_severity,remediated,3,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,17246.46,
timing,avg_duration_per_finding_s,216.43,
timing,min_duration_s,0.01,
timing,max_duration_s,1823.5,
timing,avg_triage_duration_s,7.44,
timing,avg_remedy_duration_s,78.84,
timing,avg_review_duration_s,5.19,
timing,avg_qa_duration_s,4.77,
cost,total_cost_usd,0.5562,
cost,total_tokens,3672772,
cost,avg_cost_per_finding_usd,0.0037,
cost,avg_tokens_per_finding,24485,
models,model_name,google/gemma-4-26b-a4b-it,triage
models,model_name,google/gemma-4-26b-a4b-it,remedy
models,model_name,google/gemma-4-26b-a4b-it,review
models,model_name,google/gemma-4-26b-a4b-it,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,99,
stage_stats,triage_discard,51,
stage_stats,triage_human_review,46,
stage_stats,remedy_total,99,
stage_stats,remedy_passed_scan,48,
stage_stats,remedy_failed_scan,51,
stage_stats,remedy_avg_attempts,2.12,
stage_stats,review_total,68,
stage_stats,review_approved,64,
stage_stats,review_rejected,4,
stage_stats,review_avg_security_score,9.43,
stage_stats,qa_total,58,
stage_stats,qa_safe,58,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
