section,metric,value,category
overview,total_findings,150,
overview,total_remediated,13,
overview,total_failed,111,
overview,total_discarded,6,
overview,total_requires_human_review,20,
overview,success_rate_pct,8.7,
per_round,fixed_count,6,round_1
per_round,fixed_count,4,round_2
per_round,fixed_count,3,round_3
per_severity,total,139,severity_2
per_severity,remediated,13,severity_2
per_severity,failed,105,severity_2
per_severity,total,11,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,6,severity_3
timing,total_elapsed_s,17080.14,
timing,avg_duration_per_finding_s,130.62,
timing,min_duration_s,0.01,
timing,max_duration_s,1738.24,
timing,avg_triage_duration_s,5.94,
timing,avg_remedy_duration_s,35.55,
timing,avg_review_duration_s,19.89,
timing,avg_qa_duration_s,8.72,
cost,total_cost_usd,0.8719,
cost,total_tokens,6033332,
cost,avg_cost_per_finding_usd,0.0058,
cost,avg_tokens_per_finding,40222,
models,model_name,nvidia/nemotron-3-super-120b-a12b,triage
models,model_name,nvidia/nemotron-3-super-120b-a12b,remedy
models,model_name,nvidia/nemotron-3-super-120b-a12b,review
models,model_name,nvidia/nemotron-3-super-120b-a12b,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,124,
stage_stats,triage_discard,26,
stage_stats,triage_human_review,20,
stage_stats,remedy_total,124,
stage_stats,remedy_passed_scan,13,
stage_stats,remedy_failed_scan,111,
stage_stats,remedy_avg_attempts,2.87,
stage_stats,review_total,33,
stage_stats,review_approved,27,
stage_stats,review_rejected,6,
stage_stats,review_avg_security_score,7.47,
stage_stats,qa_total,27,
stage_stats,qa_safe,24,
stage_stats,qa_unsafe,3,
stage_stats,qa_regressions,0,
