section,metric,value,category
overview,total_findings,62,
overview,total_remediated,31,
overview,total_failed,10,
overview,total_discarded,10,
overview,total_requires_human_review,11,
overview,success_rate_pct,50.0,
per_round,fixed_count,31,round_1
per_round,fixed_count,0,round_2
per_round,fixed_count,0,round_3
per_severity,total,52,severity_2
per_severity,remediated,29,severity_2
per_severity,failed,9,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,7804.49,
timing,avg_duration_per_finding_s,79.85,
timing,min_duration_s,0.01,
timing,max_duration_s,220.84,
timing,avg_triage_duration_s,11.81,
timing,avg_remedy_duration_s,72.31,
timing,avg_review_duration_s,13.94,
timing,avg_qa_duration_s,9.28,
cost,total_cost_usd,0.159,
cost,total_tokens,1838195,
cost,avg_cost_per_finding_usd,0.0026,
cost,avg_tokens_per_finding,29648,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,62,
stage_stats,triage_remediate,41,
stage_stats,triage_discard,21,
stage_stats,triage_human_review,11,
stage_stats,remedy_total,41,
stage_stats,remedy_passed_scan,31,
stage_stats,remedy_failed_scan,10,
stage_stats,remedy_avg_attempts,1.49,
stage_stats,review_total,41,
stage_stats,review_approved,32,
stage_stats,review_rejected,9,
stage_stats,review_avg_security_score,7.79,
stage_stats,qa_total,32,
stage_stats,qa_safe,23,
stage_stats,qa_unsafe,9,
stage_stats,qa_regressions,0,
