section,metric,value,category
overview,total_findings,150,
overview,total_remediated,27,
overview,total_failed,102,
overview,total_discarded,9,
overview,total_requires_human_review,12,
overview,success_rate_pct,18.0,
per_round,fixed_count,20,round_1
per_round,fixed_count,6,round_2
per_round,fixed_count,1,round_3
per_severity,total,139,severity_2
per_severity,remediated,23,severity_2
per_severity,failed,100,severity_2
per_severity,total,11,severity_3
per_severity,remediated,4,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,13934.12,
timing,avg_duration_per_finding_s,136.07,
timing,min_duration_s,0.01,
timing,max_duration_s,933.25,
timing,avg_triage_duration_s,23.86,
timing,avg_remedy_duration_s,103.31,
timing,avg_review_duration_s,21.77,
timing,avg_qa_duration_s,15.09,
cost,total_cost_usd,3.3648,
cost,total_tokens,12091768,
cost,avg_cost_per_finding_usd,0.0224,
cost,avg_tokens_per_finding,80612,
models,model_name,arcee-ai/trinity-large-thinking,triage
models,model_name,arcee-ai/trinity-large-thinking,remedy
models,model_name,arcee-ai/trinity-large-thinking,review
models,model_name,arcee-ai/trinity-large-thinking,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,129,
stage_stats,triage_discard,21,
stage_stats,triage_human_review,12,
stage_stats,remedy_total,129,
stage_stats,remedy_passed_scan,27,
stage_stats,remedy_failed_scan,102,
stage_stats,remedy_avg_attempts,2.64,
stage_stats,review_total,93,
stage_stats,review_approved,88,
stage_stats,review_rejected,5,
stage_stats,review_avg_security_score,7.62,
stage_stats,qa_total,88,
stage_stats,qa_safe,84,
stage_stats,qa_unsafe,4,
stage_stats,qa_regressions,0,
