section,metric,value,category
overview,total_findings,61,
overview,total_remediated,22,
overview,total_failed,22,
overview,total_discarded,6,
overview,total_requires_human_review,11,
overview,success_rate_pct,36.1,
per_round,fixed_count,14,round_1
per_round,fixed_count,4,round_2
per_round,fixed_count,4,round_3
per_severity,total,51,severity_2
per_severity,remediated,20,severity_2
per_severity,failed,21,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,22323.83,
timing,avg_duration_per_finding_s,618.86,
timing,min_duration_s,0.01,
timing,max_duration_s,2367.94,
timing,avg_triage_duration_s,22.81,
timing,avg_remedy_duration_s,102.09,
timing,avg_review_duration_s,30.85,
timing,avg_qa_duration_s,20.2,
cost,total_cost_usd,1.1588,
cost,total_tokens,3553694,
cost,avg_cost_per_finding_usd,0.019,
cost,avg_tokens_per_finding,58257,
models,model_name,arcee-ai/trinity-large-thinking,triage
models,model_name,arcee-ai/trinity-large-thinking,remedy
models,model_name,arcee-ai/trinity-large-thinking,review
models,model_name,arcee-ai/trinity-large-thinking,qa
stage_stats,triage_total,61,
stage_stats,triage_remediate,44,
stage_stats,triage_discard,17,
stage_stats,triage_human_review,11,
stage_stats,remedy_total,44,
stage_stats,remedy_passed_scan,22,
stage_stats,remedy_failed_scan,22,
stage_stats,remedy_avg_attempts,2.27,
stage_stats,review_total,41,
stage_stats,review_approved,36,
stage_stats,review_rejected,5,
stage_stats,review_avg_security_score,7.62,
stage_stats,qa_total,36,
stage_stats,qa_safe,34,
stage_stats,qa_unsafe,2,
stage_stats,qa_regressions,0,
