finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,remedy_commands_executed,remedy_scan_passed,remedy_success,remedy_error_summary,remedy_attempt_duration_s,remedy_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,localhost,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,localhost.localdomain,False,critical,Enabling FIPS mode on a pre‑existing RHEL 9 system requires bootloader/kernel changes that are not supported; the rule states the finding is permanent and cannot be fixed. Modifying FIPS settings risks system boot failure and loss of authentication services.,False,authentication/authorization affected; Bootloader/kernel modification; Potential loss of SSH/console access; System boot failure,high,discarded,,0,,,,,,,,,,,,,,,,,,2.002450466156006,1,0,1.976,693,460,1153,0.000127,1,1153,0.000127,1.976,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
enable_fips_mode,Enable FIPS Mode,3,localhost,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires a kernel boot parameter that is only supported at installation or container build time; it cannot be safely applied to an existing system without a full reinstall, posing a high risk of system breakage and loss of functionality.",False,reboot required; FIPS mode change; kernel boot parameter; unsupported on existing system; potential loss of functionality,high,discarded,,0,,,,,,,,,,,,,,,,,,10.900266647338867,1,0,10.889,831,559,1390,0.000145,1,1390,0.000145,10.889,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,localhost,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,localhost.localdomain,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter at installation time; it cannot be safely applied to a running system and would require a system reinstall or bootloader reconfiguration, which is beyond a simple remediation and poses a high risk of system breakage.",False,reboot required; FIPS mode activation; bootloader configuration; potential system instability,high,discarded,,0,,,,,,,,,,,,,,,,,,9.755349397659302,1,0,9.574,737,562,1299,0.000142,1,1299,0.000142,9.574,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,localhost,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,localhost.localdomain,False,low,"The finding requires ensuring the OS is a vendor-supported release, which typically involves a standard OS upgrade or patching. This is a routine change that does not involve partitioning, bootloader, or FIPS modifications and is unlikely to cause lockout or critical service breakage if performed correctly.",True,reboot required; authentication/authorization affected; networking affected; Potential service interruption during OS upgrade; Requires system reboot,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,25.164363384246826,1,0,25.154,617,1843,2460,0.000393,1,2460,0.000393,25.154,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,localhost,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,localhost.localdomain,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,0.007706642150878906,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
ensure_redhat_gpgkey_installed,Ensure Red Hat GPG Key Installed,3,localhost,ensure_redhat_gpgkey_installed,xccdf_org.ssgproject.content_rule_ensure_redhat_gpgkey_installed,compliance,localhost.localdomain,True,low,"Importing the Red Hat GPG key is a standard, non‑disruptive operation that does not affect authentication, networking, or filesystem integrity. It follows the STIG hardening pattern for package key installation and carries no risk of lockout or service breakage.",False,,low,failed,,3,,False,False,,35.43152570724487,,True,False,6,"The plan will install the Red Hat GPG key into the RPM keyring, thereby satisfying the compliance requirement. However, it lacks critical security checks such as fingerprint verification and should be enhanced with additional safety steps to avoid installing a compromised key. The approach is functional but not fully optimal.",No explicit fingerprint verification against the known Red Hat fingerprint before importing the key; No check for pre‑existing RPM key to avoid unnecessary import; No verification that the key file was successfully downloaded and is non‑empty; Depends on an external keyserver that may not be trusted or available in isolated environments; Missing error handling or idempotence logic for the import steps,False,"The remediation imports a key from an external keyserver without fingerprint verification, leaving the system vulnerable to accidental or malicious key replacement. While the steps themselves do not disrupt critical services, the lack of validation risks installing a compromised key, which is a security degradation that should not be accepted without further safeguards.",Potentially importing a compromised or tampered GPG key; Risk of installing malicious packages due to incorrect key,False,Investigate,8.829461097717285,35.45138597488403,3,0,35.098,5120,3066,8186,0.00071,0,0,0.0,0.0,1,3804,0.000315,15.011,1,2430,0.000221,11.262,1,1952,0.000174,8.825,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
accounts_password_pam_enforce_root,Ensure PAM Enforces Password Requirements - Enforce for root User,2,localhost,accounts_password_pam_enforce_root,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,compliance,localhost.localdomain,True,low,Enabling enforce_for_root in pam_pwquality.conf is a standard PAM configuration change that follows STIG hardening patterns and does not affect critical services or system boot. It is a simple file edit with minimal risk of lockout if the root password already meets complexity requirements.,False,authentication/authorization affected; Potential root password complexity enforcement may affect root login if password is weak,low,failed,,3,"touch /etc/security/pwquality.conf; mv /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; cp /etc/security/pwquality.conf.bak /etc/security/pwquality.conf; sed -i '/^\s*enforce_for_root\b/d' /etc/security/pwquality.conf; printf '%s\n' ""enforce_for_root=1"" >> /etc/security/pwquality.conf",False,False,,124.54686999320984,7.723,True,False,8,"The plan correctly enforces the enforce_for_root setting, handles backups, anchors patterns, and avoids duplicate entries. It satisfies the vulnerability remediation requirements with minimal risk. Minor refinements are suggested for safety and clarity.","Potential administrator lockout if the existing root password does not meet the new complexity rules, as the plan does not proactively verify the password policy before enabling it.; The backup is created via renaming, which could temporarily remove the file from its original location; this is acceptable but may be surprising if further processes expect the file to exist during the backup period.; The script does not automatically enforce restoration of original file permissions and ownership after editing; though the backup retains them, a new copy might inherit different defaults.",True,"The plan correctly implements the enforce_for_root setting, backs up the original configuration, and uses anchored patterns to avoid unintended edits. PAM password policies affect only password changes; they do not interrupt running services such as sshd, auditd, firewalld, or networking. The only expected side effect is that future root password changes will require compliance with the new complexity policy, which is inherent to the remediation and does not lock out existing services.",Future root password changes must satisfy the new complexity requirements; attempting to change the root password may fail if it does not meet the policy.; No impact on SSH key‑based login or other authentication mechanisms.,False,Approve,8.188871622085571,124.5704071521759,16,0,117.156,65147,9017,74164,0.003183,0,0,0.0,0.0,14,68584,0.002793,54.918,1,2872,0.000175,54.063,1,2708,0.000213,8.173,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
accounts_password_pam_minlen,Ensure PAM Enforces Password Requirements - Minimum Length,2,localhost,accounts_password_pam_minlen,xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen,compliance,localhost.localdomain,True,low,Standard STIG password policy change that does not affect critical services or system boot; typical remediation is a simple config edit.,False,authentication/authorization affected; Potential user lockout if existing passwords are shorter than new minimum,low,failed,,3,mkdir -p /etc/security/pwquality.conf.d,False,False,,73.77570366859436,8.505,True,False,8,,"The plan assumes that the PAM stack reads files from /etc/security/pwquality.conf.d/*.conf; on some distros it only reads /etc/security/pwquality.conf. The high‑priority override file will override others if the system does support the directory, but this might not be the case everywhere.",True,"The proposed plan creates an override file in /etc/security/pwquality.conf.d/ with minlen=12, which is a safe, non‑breaking configuration change. It will not affect sshd, auditd, firewalld, or networking. Even if this directory is not read by pam_pwquality on the target distribution, the change is harmless and simply results in no effect on password policies. No critical services are impacted and there is no risk of locking out users.",,False,Approve,17.750959157943726,73.83019733428955,10,0,71.364,21362,6087,27449,0.001568,0,0,0.0,0.0,8,23610,0.001218,50.141,1,2341,0.000271,3.476,1,1498,7.9e-05,17.748,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
logind_session_timeout,Configure Logind to terminate idle sessions after certain time of inactivity,2,localhost,logind_session_timeout,xccdf_org.ssgproject.content_rule_logind_session_timeout,compliance,localhost.localdomain,True,low,Standard configuration change to /etc/systemd/logind.conf that terminates idle sessions; does not affect authentication mechanisms or critical services and follows STIG hardening patterns.,False,authentication/authorization affected; May terminate legitimate long‑running sessions if timeout is set too low,low,failed,,3,,False,False,,55.52548027038574,,False,False,,"The current remediation plan was not provided in the submission, so it is impossible to determine whether it addresses the previously raised concerns or resolves the vulnerability. Please supply the full proposed script or configuration changes for review.",Missing remediation plan details prevent assessment of effectiveness and safety.,,,,,,,55.62522268295288,2,0,55.362,3368,5025,8393,0.000925,0,0,0.0,0.0,1,6595,0.000713,54.505,1,1798,0.000211,0.857,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
accounts_authorized_local_users,Only Authorized Local User Accounts Exist on Operating System,2,localhost,accounts_authorized_local_users,xccdf_org.ssgproject.content_rule_accounts_authorized_local_users,compliance,localhost.localdomain,True,low,"Removing unauthorized local user accounts is a standard STIG hardening action that does not affect system boot, networking, or critical services, and follows established best practices for account management.",False,authentication/authorization affected; Potential accidental removal of a legitimate account; Risk of lockout if the account is used for administrative tasks,low,failed,,3,,False,False,,40.375468492507935,,False,False,,"The proposed plan deletes all accounts with UID >= 1000, which includes legitimate user and service accounts that may be required for system operation. It does not consult the authorized regex list, so it risks removing necessary accounts and does not guarantee that only truly unauthorized accounts are removed. This approach also ignores potential non-/etc/passwd accounts stored in other NSS sources and does not verify group or service dependencies before deletion. Therefore the plan as presented would not reliably resolve the vulnerability and poses harmful side effects.","Failing to use var_accounts_authorized_local_users_regex to determine authorized accounts; Unconditionally deleting all UID >= 1000 users can remove legitimate and service accounts; Ignoring entries from other NSS sources (e.g., LDAP); Not validating that a user’s group is not required by critical services before deletion; Risk of breaking system services without a clear rollback plan",,,,,,,40.39887356758118,2,0,40.362,2866,3412,6278,0.000564,0,0,0.0,0.0,1,4196,0.000429,33.208,1,2082,0.000134,7.155,0,0,0.0,0.0,unknown,openai/gpt-oss-20b,openai/gpt-oss-20b,openai/gpt-oss-20b
