section,metric,value,category
overview,total_findings,18,
overview,total_remediated,5,
overview,total_failed,6,
overview,total_discarded,6,
overview,total_requires_human_review,1,
overview,success_rate_pct,27.8,
per_round,fixed_count,2,round_1
per_round,fixed_count,3,round_2
per_round,fixed_count,0,round_3
per_severity,total,11,severity_2
per_severity,remediated,5,severity_2
per_severity,failed,5,severity_2
per_severity,total,7,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,2227.33,
timing,avg_duration_per_finding_s,63.99,
timing,min_duration_s,0.01,
timing,max_duration_s,261.66,
timing,avg_triage_duration_s,14.09,
timing,avg_remedy_duration_s,67.42,
timing,avg_review_duration_s,14.42,
timing,avg_qa_duration_s,10.31,
cost,total_cost_usd,0.0252,
cost,total_tokens,486426,
cost,avg_cost_per_finding_usd,0.0014,
cost,avg_tokens_per_finding,27024,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-20b,remedy
models,model_name,openai/gpt-oss-20b,review
models,model_name,openai/gpt-oss-20b,qa
stage_stats,triage_total,18,
stage_stats,triage_remediate,11,
stage_stats,triage_discard,7,
stage_stats,triage_human_review,1,
stage_stats,remedy_total,11,
stage_stats,remedy_passed_scan,5,
stage_stats,remedy_failed_scan,6,
stage_stats,remedy_avg_attempts,2.36,
stage_stats,review_total,11,
stage_stats,review_approved,8,
stage_stats,review_rejected,3,
stage_stats,review_avg_security_score,7.22,
stage_stats,qa_total,8,
stage_stats,qa_safe,7,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
