finding_id,title,severity,host,rule,oval_id,scan_class,os,triage_should_remediate,triage_risk_level,triage_reason,triage_requires_human_review,triage_estimated_impact,triage_estimated_complexity,final_status,remediated_at_round,total_attempts,remedy_commands_executed,remedy_scan_passed,remedy_success,remedy_error_summary,remedy_attempt_duration_s,remedy_scan_duration_s,review_approve,review_is_optimal,review_security_score,review_feedback,review_concerns,qa_safe,qa_verdict_reason,qa_side_effects,qa_regression_detected,qa_recommendation,qa_validation_duration_s,total_duration_s,llm_calls,llm_errors,llm_duration_s,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,triage_llm_calls,triage_tokens,triage_cost_usd,triage_duration_s,remedy_llm_calls,remedy_tokens,remedy_cost_usd,remedy_duration_s,review_llm_calls,review_tokens,review_cost_usd,review_duration_s,qa_llm_calls,qa_tokens,qa_cost_usd,qa_duration_s,triage_model,remedy_model,review_model,qa_model
enable_dracut_fips_module,Enable Dracut FIPS Module,3,mcdc-gw-re0.net.tamu.edu,enable_dracut_fips_module,xccdf_org.ssgproject.content_rule_enable_dracut_fips_module,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,"Enabling the dracut FIPS module changes the kernel boot configuration to enforce FIPS mode, which is not supported on an already installed system and can render the system unbootable or lock out remote access. The policy explicitly classifies FIPS changes as too dangerous to remediate automatically.",False,reboot required; Potential boot failure; Loss of SSH/console access; System instability due to unsupported FIPS enablement on existing installation,high,discarded,,0,,,,,,,,,,,,,,,,,,23.7301287651062,1,0,23.697,685,786,1471,0.000176,1,1471,0.000176,23.697,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
enable_fips_mode,Enable FIPS Mode,3,mcdc-gw-re0.net.tamu.edu,enable_fips_mode,xccdf_org.ssgproject.content_rule_enable_fips_mode,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,"Enabling FIPS mode requires kernel boot parameter changes and cryptographic policy updates that are not supported on an already installed system. Applying this change can cause boot failures, loss of SSH/console access, and incompatibility with existing services, making remediation high risk.",False,reboot required; authentication/authorization affected; potential boot failure; loss of SSH/console access; cryptographic incompatibility with existing applications,high,discarded,,0,,,,,,,,,,,,,,,,,,3.6076173782348633,1,0,3.587,851,541,1392,0.000356,1,1392,0.000356,3.587,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
sysctl_crypto_fips_enabled,Set kernel parameter 'crypto.fips_enabled' to 1,3,mcdc-gw-re0.net.tamu.edu,sysctl_crypto_fips_enabled,xccdf_org.ssgproject.content_rule_sysctl_crypto_fips_enabled,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,"Enabling FIPS mode requires adding the fips=1 kernel boot parameter, which is only supported at installation time. Changing this on an existing system is not supported and can prevent the system from booting or cause compliance issues. According to policy, FIPS and bootloader/kernel parameter changes are classified as too dangerous to remediate automatically.",False,reboot required; FIPS mode activation; kernel boot parameter modification; potential system boot failure; non‑compliance with FIPS requirements,high,discarded,,0,,,,,,,,,,,,,,,,,,2.7406673431396484,1,0,2.721,723,638,1361,0.000295,1,1361,0.000295,2.721,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
installed_OS_is_vendor_supported,The Installed Operating System Is Vendor Supported,3,mcdc-gw-re0.net.tamu.edu,installed_OS_is_vendor_supported,xccdf_org.ssgproject.content_rule_installed_OS_is_vendor_supported,compliance,mcdc-gw-re0.net.tamu.edu,False,medium,"Remediation requires verifying the OS version and potentially performing an OS upgrade to a supported release. This can introduce service disruptions, compatibility issues, and may require a reboot, thus a human decision and planning are needed.",True,reboot required; Potential service downtime during upgrade; Compatibility issues with existing applications; Loss of custom configuration if not backed up; Reboot may interrupt remote access,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,22.12420654296875,1,0,21.76,619,753,1372,0.000219,1,1372,0.000219,21.76,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
partition_for_var_tmp,Ensure /var/tmp Located On Separate Partition,2,mcdc-gw-re0.net.tamu.edu,partition_for_var_tmp,xccdf_org.ssgproject.content_rule_partition_for_var_tmp,compliance,mcdc-gw-re0.net.tamu.edu,False,critical,Filesystem/partition/mount-option changes can break boot or services and should not be auto-remediated.,False,reboot required; filesystems affected; filesystems/partitioning; service disruption risk,high,discarded,,0,,,,,,,,,,,,,,,,,,0.009812116622924805,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
package_gssproxy_removed,Uninstall gssproxy Package,2,mcdc-gw-re0.net.tamu.edu,package_gssproxy_removed,xccdf_org.ssgproject.content_rule_package_gssproxy_removed,compliance,mcdc-gw-re0.net.tamu.edu,False,medium,"Removing gssproxy may break services that rely on GSSAPI authentication (e.g., SSH, Kerberos) and can cause dependency failures. The remediation script warns about dependent packages, indicating a non‑trivial risk of service disruption or loss of authentication capability, which warrants human validation before proceeding.",True,authentication/authorization affected; dependency breakage; potential authentication failure; service disruption,medium,requires_human_review,,0,,,,,,,,,,,,,,,,,,129.9348521232605,1,0,129.874,677,687,1364,0.000411,1,1364,0.000411,129.874,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
ensure_redhat_gpgkey_installed,Ensure Red Hat GPG Key Installed,3,mcdc-gw-re0.net.tamu.edu,ensure_redhat_gpgkey_installed,xccdf_org.ssgproject.content_rule_ensure_redhat_gpgkey_installed,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"The remediation only imports a trusted GPG key and optionally verifies directory permissions. This operation does not affect authentication, networking, or critical system services and is a standard STIG step for package verification.",False,,low,failed,,2,,False,False,,57.90430164337158,,True,False,8,"The plan now addresses the earlier concerns: it checks directory permissions, validates the key file's existence, verifies the fingerprint against known values, avoids duplicate imports, and only imports when needed. This should remediate the OpenSCAP finding on a correctly configured system.","The command `dnf reinstall -y redhat-release` may not exist or be appropriate on Rocky Linux, potentially causing the script to fail if the package is unavailable.; The plan does not explicitly handle the case where the fingerprint verification fails (e.g., aborting with an error).; It assumes the `gpg` tool is installed; if not, the fingerprint check would error out.",False,,,False,Investigate,15.191763162612915,57.91235423088074,3,0,57.874,4962,2775,7737,0.000777,0,0,0.0,0.0,1,2842,0.000298,25.271,1,2588,0.000239,17.42,1,2307,0.000239,15.183,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
banner_etc_issue,Modify the System Login Banner,2,mcdc-gw-re0.net.tamu.edu,banner_etc_issue,xccdf_org.ssgproject.content_rule_banner_etc_issue,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"The remediation only requires editing a plain text file (/etc/issue) to display a legal disclaimer. This change does not affect authentication mechanisms, networking, or boot processes, and poses no risk of locking out SSH or console access.",False,filesystems affected; compliance; audit,low,failed,,2,,False,False,,29.89389991760254,,False,False,6,"The plan safely backs up and updates the banner files, but the disclaimer text is truncated and does not match the required DoD banner, so the OpenSCAP rule will likely still fail.",Disclaimer text is incomplete and does not include the full DoD required message.; Using a partial snippet may not satisfy the compliance check.; No verification step to ensure the banner meets the exact required pattern.,,,,,,,29.89792561531067,2,0,29.884,3048,1582,4630,0.000419,0,0,0.0,0.0,1,2126,0.000189,12.465,1,2504,0.00023,17.419,0,0,0.0,0.0,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,2,mcdc-gw-re0.net.tamu.edu,accounts_password_pam_dcredit,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"The remediation only modifies the PAM pwquality configuration to enforce a digit requirement. This is a standard STIG hardening step, does not affect system boot or critical services, and is unlikely to cause lockout if tested before deployment.",False,authentication/authorization affected; Potential for users to be unable to set passwords that meet the new digit requirement; Misconfiguration could weaken password policy if set incorrectly,low,success,1,1,"ls -1 /etc/security/pwquality.conf.d/*.conf 2>/dev/null || true; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i ""s/^[[:space:]]*dcredit[[:space:]]*=.*/dcredit = -1/"" /etc/security/pwquality.conf",True,True,,81.19749450683594,5.339,True,False,7,"The plan correctly enforces a minimum of one digit by setting dcredit = -1, which resolves the vulnerability in the typical case. However, it does not address possible existing dcredit settings in /etc/security/pwquality.conf.d/*.conf files that could override the main configuration, nor does it back up files before editing. Adding those steps would make the remediation more robust.",Existing dcredit entries in pwquality.conf.d may override the setting applied to pwquality.conf.; No backup of configuration files before in‑place editing.; The grep check does not differentiate between commented and active lines when deciding whether to append.,True,"The plan correctly sets dcredit = -1 to require at least one digit, which is the intended remediation. Editing pwquality.conf is low‑risk and does not affect PAM stack logic beyond password complexity, so it will not lock out existing users or break critical services.","If existing dcredit settings exist in /etc/security/pwquality.conf.d/, they may override the change; No backup of the original configuration file is made before in‑place editing",False,Investigate,13.083935976028442,87.5391640663147,14,0,83.343,44305,4763,49068,0.003004,1,1335,0.000125,6.325,11,44181,0.002229,59.164,1,2014,0.000515,4.775,1,1538,0.000136,13.079,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
accounts_password_pam_enforce_root,Ensure PAM Enforces Password Requirements - Enforce for root User,2,mcdc-gw-re0.net.tamu.edu,accounts_password_pam_enforce_root,xccdf_org.ssgproject.content_rule_accounts_password_pam_enforce_root,compliance,mcdc-gw-re0.net.tamu.edu,True,low,"The remediation only adds a single PAM configuration directive (enforce_for_root) to /etc/security/pwquality.conf, a standard STIG hardening step. It does not modify kernel, bootloader, or filesystem layout, and the change is low‑complexity. While there is a minor risk that the existing root password may not meet the new complexity rules, this can be mitigated by ensuring the password complies before applying the change.",False,"authentication/authorization affected; Root password may not meet new complexity requirements, potentially causing authentication failure for root",low,success,1,1,cat /etc/security/pwquality.conf; rpm -q libpwquality; sed -i -e '$a\' /etc/security/pwquality.conf; cp /etc/security/pwquality.conf /etc/security/pwquality.conf.bak; sed -i '/^[ \t]*#\?\s*enforce_for_root/d' /etc/security/pwquality.conf; printf '%s\n' 'enforce_for_root' >> /etc/security/pwquality.conf; cat /etc/security/pwquality.conf,True,True,,119.07333898544312,5.221,True,False,8,"The plan correctly adds the enforce_for_root directive and removes any existing entries, which will enable password complexity enforcement for root. It creates a backup and ensures the file ends with a newline, which are good safety measures. Minor improvements could be made for robustness.","The sed delete pattern is case‑sensitive; if the line uses different case it may not be removed.; The plan does not verify the presence of libpwquality (the pwquality PAM module) before editing, which could lead to unnecessary changes on systems without the module.; Appending the directive without an explicit value relies on the default behavior; using ""enforce_for_root = 1"" would be clearer.",True,"The plan only modifies /etc/security/pwquality.conf to add the enforce_for_root directive, which is the intended fix for the vulnerability. The changes are limited to a configuration file used by the pwquality PAM module and do not affect PAM stack ordering, authentication mechanisms, or active services. Creating a backup and ensuring a newline before appending are safe practices. The only impact is that future root password changes will be subject to the module's complexity rules, which is expected behavior.","Root password changes will now be required to meet pwquality complexity rules, which could cause a password change to fail if the new password does not comply.; If libpwquality is not installed, the added directive will have no effect but will not cause harm.",False,Approve,10.302978277206421,129.3647985458374,16,0,123.555,51087,6159,57246,0.003576,1,1354,0.000137,10.267,13,52143,0.003034,89.576,1,2013,0.000272,13.411,1,1736,0.000135,10.301,unknown,openai/gpt-oss-120b,openai/gpt-oss-120b,openai/gpt-oss-120b
