section,metric,value,category
overview,total_findings,59,
overview,total_remediated,23,
overview,total_failed,14,
overview,total_discarded,15,
overview,total_requires_human_review,7,
overview,success_rate_pct,39.0,
per_round,fixed_count,20,round_1
per_round,fixed_count,3,round_2
per_round,fixed_count,0,round_3
per_severity,total,49,severity_2
per_severity,remediated,22,severity_2
per_severity,failed,12,severity_2
per_severity,total,10,severity_3
per_severity,remediated,1,severity_3
per_severity,failed,2,severity_3
timing,total_elapsed_s,6893.47,
timing,avg_duration_per_finding_s,69.5,
timing,min_duration_s,0.01,
timing,max_duration_s,555.31,
timing,avg_triage_duration_s,16.2,
timing,avg_remedy_duration_s,35.96,
timing,avg_review_duration_s,31.0,
timing,avg_qa_duration_s,21.66,
cost,total_cost_usd,0.088,
cost,total_tokens,957836,
cost,avg_cost_per_finding_usd,0.0015,
cost,avg_tokens_per_finding,16235,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,59,
stage_stats,triage_remediate,37,
stage_stats,triage_discard,22,
stage_stats,triage_human_review,7,
stage_stats,remedy_total,37,
stage_stats,remedy_passed_scan,23,
stage_stats,remedy_failed_scan,14,
stage_stats,remedy_avg_attempts,1.32,
stage_stats,review_total,37,
stage_stats,review_approved,26,
stage_stats,review_rejected,11,
stage_stats,review_avg_security_score,7.83,
stage_stats,qa_total,26,
stage_stats,qa_safe,23,
stage_stats,qa_unsafe,3,
stage_stats,qa_regressions,0,
