section,metric,value,category
overview,total_findings,59,
overview,total_remediated,31,
overview,total_failed,15,
overview,total_discarded,8,
overview,total_requires_human_review,5,
overview,success_rate_pct,52.5,
per_round,fixed_count,22,round_1
per_round,fixed_count,7,round_2
per_round,fixed_count,2,round_3
per_severity,total,49,severity_2
per_severity,remediated,29,severity_2
per_severity,failed,14,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,3696.2,
timing,avg_duration_per_finding_s,40.76,
timing,min_duration_s,0.0,
timing,max_duration_s,197.39,
timing,avg_triage_duration_s,1.24,
timing,avg_remedy_duration_s,7.73,
timing,avg_review_duration_s,1.51,
timing,avg_qa_duration_s,1.15,
cost,total_cost_usd,0.4352,
cost,total_tokens,2160839,
cost,avg_cost_per_finding_usd,0.0074,
cost,avg_tokens_per_finding,36624,
models,model_name,inception/mercury-2,triage
models,model_name,inception/mercury-2,remedy
models,model_name,inception/mercury-2,review
models,model_name,inception/mercury-2,qa
stage_stats,triage_total,59,
stage_stats,triage_remediate,46,
stage_stats,triage_discard,13,
stage_stats,triage_human_review,5,
stage_stats,remedy_total,46,
stage_stats,remedy_passed_scan,31,
stage_stats,remedy_failed_scan,15,
stage_stats,remedy_avg_attempts,1.89,
stage_stats,review_total,46,
stage_stats,review_approved,44,
stage_stats,review_rejected,2,
stage_stats,review_avg_security_score,8.13,
stage_stats,qa_total,44,
stage_stats,qa_safe,44,
stage_stats,qa_unsafe,0,
stage_stats,qa_regressions,0,
