section,metric,value,category
overview,total_findings,59,
overview,total_remediated,31,
overview,total_failed,8,
overview,total_discarded,12,
overview,total_requires_human_review,8,
overview,success_rate_pct,52.5,
per_round,fixed_count,29,round_1
per_round,fixed_count,1,round_2
per_round,fixed_count,1,round_3
per_severity,total,49,severity_2
per_severity,remediated,29,severity_2
per_severity,failed,7,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,2802.86,
timing,avg_duration_per_finding_s,67.67,
timing,min_duration_s,0.01,
timing,max_duration_s,240.98,
timing,avg_triage_duration_s,16.92,
timing,avg_remedy_duration_s,33.22,
timing,avg_review_duration_s,18.67,
timing,avg_qa_duration_s,7.99,
cost,total_cost_usd,0.3126,
cost,total_tokens,1624144,
cost,avg_cost_per_finding_usd,0.0053,
cost,avg_tokens_per_finding,27528,
models,model_name,openai/gpt-oss-120b,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,59,
stage_stats,triage_remediate,39,
stage_stats,triage_discard,20,
stage_stats,triage_human_review,8,
stage_stats,remedy_total,39,
stage_stats,remedy_passed_scan,31,
stage_stats,remedy_failed_scan,8,
stage_stats,remedy_avg_attempts,1.49,
stage_stats,review_total,38,
stage_stats,review_approved,37,
stage_stats,review_rejected,1,
stage_stats,review_avg_security_score,7.95,
stage_stats,qa_total,37,
stage_stats,qa_safe,35,
stage_stats,qa_unsafe,2,
stage_stats,qa_regressions,0,
