section,metric,value,category
overview,total_findings,60,
overview,total_remediated,26,
overview,total_failed,6,
overview,total_discarded,5,
overview,total_requires_human_review,23,
overview,success_rate_pct,43.3,
per_round,fixed_count,23,round_1
per_round,fixed_count,2,round_2
per_round,fixed_count,1,round_3
per_severity,total,50,severity_2
per_severity,remediated,26,severity_2
per_severity,failed,5,severity_2
per_severity,total,10,severity_3
per_severity,remediated,0,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,2653.79,
timing,avg_duration_per_finding_s,68.02,
timing,min_duration_s,0.0,
timing,max_duration_s,291.89,
timing,avg_triage_duration_s,9.39,
timing,avg_remedy_duration_s,74.64,
timing,avg_review_duration_s,5.65,
timing,avg_qa_duration_s,3.81,
cost,total_cost_usd,0.1814,
cost,total_tokens,1265903,
cost,avg_cost_per_finding_usd,0.003,
cost,avg_tokens_per_finding,21098,
models,model_name,google/gemma-4-26b-a4b-it,triage
models,model_name,google/gemma-4-26b-a4b-it,remedy
models,model_name,google/gemma-4-26b-a4b-it,review
models,model_name,google/gemma-4-26b-a4b-it,qa
stage_stats,triage_total,60,
stage_stats,triage_remediate,32,
stage_stats,triage_discard,28,
stage_stats,triage_human_review,23,
stage_stats,remedy_total,32,
stage_stats,remedy_passed_scan,26,
stage_stats,remedy_failed_scan,6,
stage_stats,remedy_avg_attempts,1.5,
stage_stats,review_total,31,
stage_stats,review_approved,30,
stage_stats,review_rejected,1,
stage_stats,review_avg_security_score,9.16,
stage_stats,qa_total,30,
stage_stats,qa_safe,29,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
