section,metric,value,category
overview,total_findings,150,
overview,total_remediated,39,
overview,total_failed,92,
overview,total_discarded,5,
overview,total_requires_human_review,14,
overview,success_rate_pct,26.0,
per_round,fixed_count,10,round_1
per_round,fixed_count,15,round_2
per_round,fixed_count,14,round_3
per_severity,total,140,severity_2
per_severity,remediated,38,severity_2
per_severity,failed,88,severity_2
per_severity,total,10,severity_3
per_severity,remediated,1,severity_3
per_severity,failed,4,severity_3
timing,total_elapsed_s,11054.21,
timing,avg_duration_per_finding_s,79.01,
timing,min_duration_s,0.01,
timing,max_duration_s,954.41,
timing,avg_triage_duration_s,7.51,
timing,avg_remedy_duration_s,60.21,
timing,avg_review_duration_s,16.23,
timing,avg_qa_duration_s,17.28,
cost,total_cost_usd,1.7283,
cost,total_tokens,11820636,
cost,avg_cost_per_finding_usd,0.0115,
cost,avg_tokens_per_finding,78804,
models,model_name,nvidia/nemotron-3-super-120b-a12b,triage
models,model_name,nvidia/nemotron-3-super-120b-a12b,remedy
models,model_name,nvidia/nemotron-3-super-120b-a12b,review
models,model_name,nvidia/nemotron-3-super-120b-a12b,qa
stage_stats,triage_total,150,
stage_stats,triage_remediate,131,
stage_stats,triage_discard,19,
stage_stats,triage_human_review,14,
stage_stats,remedy_total,131,
stage_stats,remedy_passed_scan,39,
stage_stats,remedy_failed_scan,92,
stage_stats,remedy_avg_attempts,2.73,
stage_stats,review_total,51,
stage_stats,review_approved,39,
stage_stats,review_rejected,12,
stage_stats,review_avg_security_score,7.0,
stage_stats,qa_total,39,
stage_stats,qa_safe,38,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
