section,metric,value,category
overview,total_findings,67,
overview,total_remediated,22,
overview,total_failed,11,
overview,total_discarded,14,
overview,total_requires_human_review,20,
overview,success_rate_pct,32.8,
per_round,fixed_count,19,round_1
per_round,fixed_count,3,round_2
per_round,fixed_count,0,round_3
per_severity,total,57,severity_2
per_severity,remediated,20,severity_2
per_severity,failed,11,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,0,severity_3
timing,total_elapsed_s,2026.07,
timing,avg_duration_per_finding_s,82.16,
timing,min_duration_s,12.52,
timing,max_duration_s,214.25,
timing,avg_triage_duration_s,0,
timing,avg_remedy_duration_s,46.28,
timing,avg_review_duration_s,22.17,
timing,avg_qa_duration_s,15.42,
cost,total_cost_usd,0.1703,
cost,total_tokens,1254970,
cost,avg_cost_per_finding_usd,0.0025,
cost,avg_tokens_per_finding,18731,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,67,
stage_stats,triage_remediate,33,
stage_stats,triage_discard,34,
stage_stats,triage_human_review,20,
stage_stats,remedy_total,33,
stage_stats,remedy_passed_scan,22,
stage_stats,remedy_failed_scan,11,
stage_stats,remedy_avg_attempts,1.36,
stage_stats,review_total,33,
stage_stats,review_approved,26,
stage_stats,review_rejected,7,
stage_stats,review_avg_security_score,7.29,
stage_stats,qa_total,26,
stage_stats,qa_safe,25,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
