section,metric,value,category
overview,total_findings,67,
overview,total_remediated,30,
overview,total_failed,17,
overview,total_discarded,11,
overview,total_requires_human_review,9,
overview,success_rate_pct,44.8,
per_round,fixed_count,25,round_1
per_round,fixed_count,5,round_2
per_round,fixed_count,0,round_3
per_severity,total,57,severity_2
per_severity,remediated,28,severity_2
per_severity,failed,16,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,1,severity_3
timing,total_elapsed_s,5216.24,
timing,avg_duration_per_finding_s,62.04,
timing,min_duration_s,0.0,
timing,max_duration_s,279.03,
timing,avg_triage_duration_s,11.46,
timing,avg_remedy_duration_s,36.67,
timing,avg_review_duration_s,26.61,
timing,avg_qa_duration_s,12.44,
cost,total_cost_usd,0.1281,
cost,total_tokens,1549396,
cost,avg_cost_per_finding_usd,0.0019,
cost,avg_tokens_per_finding,23125,
models,model_name,unknown,triage
models,model_name,openai/gpt-oss-120b,remedy
models,model_name,openai/gpt-oss-120b,review
models,model_name,openai/gpt-oss-120b,qa
stage_stats,triage_total,67,
stage_stats,triage_remediate,47,
stage_stats,triage_discard,20,
stage_stats,triage_human_review,9,
stage_stats,remedy_total,47,
stage_stats,remedy_passed_scan,30,
stage_stats,remedy_failed_scan,17,
stage_stats,remedy_avg_attempts,1.26,
stage_stats,review_total,47,
stage_stats,review_approved,38,
stage_stats,review_rejected,9,
stage_stats,review_avg_security_score,7.6,
stage_stats,qa_total,38,
stage_stats,qa_safe,33,
stage_stats,qa_unsafe,5,
stage_stats,qa_regressions,0,
