section,metric,value,category
overview,total_findings,59,
overview,total_remediated,18,
overview,total_failed,30,
overview,total_discarded,4,
overview,total_requires_human_review,7,
overview,success_rate_pct,30.5,
per_round,fixed_count,5,round_1
per_round,fixed_count,4,round_2
per_round,fixed_count,9,round_3
per_severity,total,49,severity_2
per_severity,remediated,16,severity_2
per_severity,failed,25,severity_2
per_severity,total,10,severity_3
per_severity,remediated,2,severity_3
per_severity,failed,5,severity_3
timing,total_elapsed_s,9583.43,
timing,avg_duration_per_finding_s,217.92,
timing,min_duration_s,0.01,
timing,max_duration_s,1839.93,
timing,avg_triage_duration_s,14.42,
timing,avg_remedy_duration_s,33.16,
timing,avg_review_duration_s,4.06,
timing,avg_qa_duration_s,4.46,
cost,total_cost_usd,0.3442,
cost,total_tokens,2325777,
cost,avg_cost_per_finding_usd,0.0058,
cost,avg_tokens_per_finding,39420,
models,model_name,nvidia/nemotron-3-super-120b-a12b,triage
models,model_name,nvidia/nemotron-3-super-120b-a12b,remedy
models,model_name,nvidia/nemotron-3-super-120b-a12b,review
models,model_name,nvidia/nemotron-3-super-120b-a12b,qa
stage_stats,triage_total,59,
stage_stats,triage_remediate,48,
stage_stats,triage_discard,11,
stage_stats,triage_human_review,7,
stage_stats,remedy_total,48,
stage_stats,remedy_passed_scan,18,
stage_stats,remedy_failed_scan,30,
stage_stats,remedy_avg_attempts,2.71,
stage_stats,review_total,17,
stage_stats,review_approved,17,
stage_stats,review_rejected,0,
stage_stats,review_avg_security_score,8.94,
stage_stats,qa_total,17,
stage_stats,qa_safe,16,
stage_stats,qa_unsafe,1,
stage_stats,qa_regressions,0,
